Time - Seconds;Temp1;Temp2;Temp3
00.06.54;31.00.00;55.01.00;60.05.00
00.06.55;31.01.00;55.02.00;60.04.00
00.06.56;31.02.00;55.02.00;60.04.00
00.06.57;31.03.00;55.02.00;60.03.00
00.06.58;31.04.00;55.04.00;60.03.00
00.06.59;31.06.00;55.07.00;60.02.00
00.07.00;31.07.00;56.00.00;60.02.00
00.07.01;31.08.00;56.03.00;60.01.00
00.07.02;31.09.00;56.04.00;60.01.00
00.07.03;32.00.00;56.06.00;60.00.00
00.07.04;32.02.00;56.09.00;59.09.00
00.07.05;32.03.00;57.01.00;59.08.00
00.07.06;32.03.00;57.04.00;59.08.00
00.07.07;32.04.00;57.07.00;59.08.00
00.07.08;32.05.00;58.00.00;59.09.00
00.07.09;32.05.00;58.03.00;60.01.00
00.07.10;32.06.00;58.06.00;60.03.00
00.07.11;32.08.00;58.09.00;60.05.00
00.07.12;32.09.00;59.02.00;60.07.00
00.07.13;33.00.00;59.04.00;61.00.00
00.07.14;33.01.00;59.07.00;61.03.00
00.07.15;33.02.00;59.09.00;61.07.00
00.07.16;33.03.00;60.00.00;62.00.00
00.07.17;33.04.00;60.01.00;62.01.00
00.07.18;33.05.00;60.02.00;62.01.00
00.07.19;33.06.00;60.04.00;62.02.00
00.07.20;33.06.00;60.05.00;62.04.00
00.07.21;33.07.00;60.06.00;62.06.00
00.07.22;33.08.00;60.08.00;62.06.00
00.07.23;33.09.00;60.09.00;62.05.00
00.07.24;34.00.00;61.01.00;62.04.00
00.07.25;34.01.00;61.02.00;62.03.00
00.07.26;34.01.00;61.05.00;62.01.00
00.07.27;34.03.00;61.07.00;62.00.00
00.07.28;34.03.00;61.09.00;62.00.00
00.07.29;34.04.00;62.01.00;61.09.00
00.07.30;34.05.00;62.02.00;61.08.00
00.07.31;34.06.00;62.03.00;61.06.00
00.07.32;34.07.00;62.04.00;61.05.00
00.07.33;34.07.00;62.05.00;61.04.00
00.07.34;34.08.00;62.05.00;61.03.00
00.07.35;34.09.00;62.06.00;61.04.00
00.07.36;34.09.00;62.06.00;61.05.00
00.07.37;35.01.00;62.04.00;61.06.00
00.07.38;35.01.00;62.02.00;61.07.00
00.07.39;35.02.00;62.01.00;61.08.00
00.07.40;35.03.00;62.00.00;62.00.00
00.07.41;35.04.00;62.00.00;62.00.00
00.07.42;35.05.00;62.01.00;62.01.00
00.07.43;35.05.00;62.04.00;62.02.00
00.07.44;35.05.00;62.06.00;62.04.00
00.07.45;35.05.00;62.09.00;62.05.00
00.07.46;35.06.00;63.01.00;62.08.00
00.07.47;35.07.00;63.02.00;63.01.00
00.07.48;35.08.00;63.04.00;63.04.00
00.07.49;35.08.00;63.05.00;63.04.00
00.07.50;35.08.00;63.06.00;63.02.00
00.07.51;35.08.00;63.08.00;63.00.00
00.07.52;35.09.00;64.00.00;63.00.00
00.07.53;35.09.00;64.02.00;63.01.00
00.07.54;36.00.00;64.03.00;63.01.00
00.07.55;36.00.00;64.04.00;63.02.00
00.07.56;36.01.00;64.05.00;63.04.00
00.07.57;36.02.00;64.06.00;63.04.00
00.07.58;36.03.00;64.07.00;63.04.00
00.07.59;36.03.00;64.09.00;63.04.00
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
